Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
GX 339-4,BH,1.883789e+30,0.0,0.0,1.368278e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.971853e+30,0.0,0.0,1.42129e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.97951e+30,0.0,0.0,1.441349e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.665545e+30,0.0,0.0,5.37282e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.680861e+30,0.0,0.0,3.968723e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.175454e+30,0.0,0.0,2.650591e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.102706e+30,0.0,0.0,2.364041e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.686966e+29,0.0,0.0,2.249421e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.623894e+29,0.0,0.0,1.67632e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.159931e+29,0.0,0.0,1.79094e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.436953e+29,0.0,0.0,1.375442e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.135147e+29,0.0,0.0,1.045909e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.416671e+29,0.0,0.0,3.152054e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.466238e+30,0.0,0.0,7.857212e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.38516e+30,0.0,0.0,8.138031e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.661717e+30,0.0,0.0,3.008779e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.006985e+30,0.0,0.0,2.192111e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.777047e+29,0.0,0.0,1.833923e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.47074e+29,0.0,0.0,1.805268e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.509028e+29,0.0,0.0,1.90556e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.509028e+29,0.0,0.0,2.593281e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.036063e+29,0.0,0.0,3.58188e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.263517e+30,0.0,0.0,5.2582e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.105862e+29,0.0,0.0,3.58188e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.259016e+29,0.0,0.0,3.58188e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.680188e+29,0.0,0.0,3.940068e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.948207e+29,0.0,0.0,1.022985e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
